Model,Task,Shot,Precision,Recall,F1
internlm2_5-20b-hf,transformed_medlfqa_kqa,5shot,0.7067699432373047,0.7338082790374756,0.7196992635726929
gpt-4o,transformed_imcs_mrg,0shot,0.5900241732597351,0.6771016120910645,0.6302404999732971
internlm2_5-20b-hf,transformed_medlfqa_healthqa,5shot,0.7361204028129578,0.7467460632324219,0.7412219047546387
yi-1.5-34b-chat-hf,transformed_medlfqa_healthqa,5shot,0.7207563519477844,0.7573174238204956,0.7383784651756287
mixtral-large-2-instruct-turbomind,transformed_medlfqa_healthqa,0shot,0.6907806992530823,0.7530311346054077,0.720327615737915
mixtral-large-2-instruct-turbomind,transformed_imcs_mrg,0shot,0.5791791081428528,0.6576000452041626,0.6155993342399597
internlm2_5-20b-hf,transformed_medlfqa_medicationqa,0shot,0.6578466296195984,0.6927011609077454,0.6741411089897156
internlm2_5-20b-hf,transformed_medlfqa_medicationqa,5shot,0.6526156663894653,0.6942680478096008,0.6721513867378235
llama-3_1-70b-instruct-hf,transformed_imcs_mrg,0shot,0.6296544075012207,0.7215463519096375,0.672147274017334
yi-1.5-34b-chat-hf,transformed_medlfqa_kqa,5shot,0.6911390423774719,0.7395820021629333,0.714201807975769
qwen2.5-72b-instruct-hf,transformed_medlfqa_medicationqa,0shot,0.5975291728973389,0.7023679614067078,0.6450938582420349
yi-1.5-34b-chat-hf,transformed_medlfqa_medicationqa,5shot,0.6367856860160828,0.7004900574684143,0.6663097143173218
internlm2_5-20b-hf,transformed_imcs_mrg,5shot,0.0,0.0,0.0
yi-1.5-34b-chat-hf,transformed_medlfqa_medicationqa,0shot,0.6177469491958618,0.6893392205238342,0.6509755849838257
internlm2_5-20b-hf,transformed_medlfqa_liveqa,5shot,0.6449503898620605,0.6921733021736145,0.666451632976532
yi-1.5-34b-chat-hf,transformed_medlfqa_kqa,0shot,0.6730101108551025,0.7265037298202515,0.6984462738037109
gpt-4o,transformed_medlfqa_healthqa,5shot,0.676338791847229,0.7540315985679626,0.7127838134765625
yi-1.5-34b-chat-hf,transformed_medlfqa_liveqa,0shot,0.6177788376808167,0.688092052936554,0.6497393846511841
qwen2.5-72b-instruct-hf,transformed_medlfqa_liveqa,5shot,0.6028172373771667,0.693820059299469,0.643963098526001
yi-1.5-34b-chat-hf,transformed_imcs_mrg,0shot,0.6558012366294861,0.7333441376686096,0.6920241713523865
internlm2_5-20b-hf,transformed_imcs_mrg,0shot,0.6165332794189453,0.6411094665527344,0.6281653642654419
mixtral-large-2-instruct-turbomind,transformed_medlfqa_kqa,5shot,0.6623401045799255,0.7485888600349426,0.7025671601295471
gpt-4o,transformed_medlfqa_kqa,0shot,0.6530020833015442,0.7472897171974182,0.6966752409934998
internlm2_5-20b-hf,transformed_medlfqa_healthqa,0shot,0.7391501069068909,0.7318605184555054,0.7352853417396545
